kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,ap-int-10,prayer,priest,,,"Grant peace to the scholars of the church, who are continually gathered in Thy holy church; to all, to each by their several names, in the presence of powerful rulers, O our God, increase Thy peace.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-11,prayer,priest,,,"Rest the souls of our ancestors, both our brothers and sisters who have fallen asleep and gained their rest in the right faith.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-12,prayer,priest,,,"And bless those who give gifts of incense, bread and wine, ointment and oil, decorations and reading books, and vessels for the sanctuary, that Christ our God may give them their reward in the heavenly Jerusalem.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-13,prayer,priest,,,"And all of them that are assembled with us to entreat for mercy, Christ our God have mercy upon them: and all them that give alms before Thine awful and terrifying throne, receive.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-14,prayer,priest,,,"And comfort every straitened soul, they who are in chains, and they who are in exile or captivity.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-15,prayer,priest,,,"And them that are held in bitter servitude, our God, deliver them in Thy mercy. And all of them that have entrusted it to us to remember them in our supplications to Thee O our Master Jesus Christ, remember them in Thy heavenly kingdom, and remember me, thy sinful servant.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-16,prayer,priest,ኦ እግዚኦ አድኅን ሕዝበከ ወባርክ ርስተከ,አቤቱ ሕዝብህን አድን ርስትህንም ባርክ።,"O Lord, save thy people and bless Thine inheritance, feed them and lift them up for ever.",O igzio adihin hizibike webarik risteke,\N,\N,\N
block,,,,,,,,,,,,sjc-int-3,prayer,deacon,,,"Lord pity and have mercy upon the patriarchs, archbishops, bishops, priests, deacons and all the Christian people.",,\N,\N,\N
section,,,,,,,sjc-incarnation,Proclamation of the Son,,,,,,,,,,,,,
block,,,,,,,,,,,,sjc-inc-1,prayer,priest,,,"Again we proclaim the existence of the only-begotten, what He is, what was his descent, and what was His birth.",,\N,\N,\N
block,,,,,,,,,,,,sjc-inc-2,prayer,priest,,,"He came without going out of His Father, He descended without removing from His position, He came without being separated from the Trinity, He came down without breaking His unity, and He dwelt in a daughter of flesh without leaving His throne.",,\N,\N,\N
block,,,,,,,,,,,,sjc-inc-3,prayer,deacon,,,"Ye that are sitting, stand up.",,\N,\N,\N
block,,,,,,,,,,,,sjc-inc-4,prayer,priest,,,"He was conceived in the womb without letting there be any place that was not full of Him, He was bound in the womb without making subtraction above, and was born without making addition beneath.",,\N,\N,\N
block,,,,,,,,,,,,sjc-inc-5,prayer,deacon,,,Look to the east.,,\N,\N,\N
block,,,,,,,,,,,,sjc-inc-6,prayer,priest,,,"He became man, absolutely without sin, and appeared like a servant, working like God, as the preachers of His gospel witnessed.",,\N,\N,\N
block,,,,,,,,,,,,sjc-inc-7,prayer,deacon,,,Let us give heed.,,\N,\N,\N
block,,,,,,,,,,,,sjc-inc-8,prayer,priest,,,"He was glorified by His Father, He was given thanks by the angels, He was praised by men and sanctified by Himself.",,\N,\N,\N
section,,,,,,,sjc-sanctus,Sanctus,,,,,,,,,,,,,
block,,,,,,,,,,,,sjc-san-1,prayer,priest,,,"The holiness of His glory filled heaven and earth. Henceforth, at all times, we give our hearts no rest but speak of the holiness of His glory and cry saying: Holy, holy, holy, perfect Lord of hosts, heaven and earth are full of the holiness of Thy glory.",,\N,\N,\N
block,,,,,,,,,,,,sjc-san-2,prayer,deacon,,,Answer ye.,,\N,\N,\N
block,,,,,,,,,,,,sjc-san-3,response,congregation,,,"Holy, holy, holy, perfect Lord of hosts, heaven and earth are full of the holiness of Thy glory.",,\N,\N,\N
block,,,,,,,,,,,,sjc-san-4,prayer,priest,,,"Truly holy, holy, holy art Thou, Jesus Christ, Who is sanctified by the mouths of all, and Who, through Thy goodness, has granted to all Thy holy ones to be holy. His holy things cannot be destroyed or perish, those things which eye has not seen, nor ear heard, neither have entered into the heart of man, which God has prepared for His holy disciples and pure apostles who loved Him; and He has shown them the order of the holy communion.",,\N,\N,\N
section,,,,,,,sjc-institution,Words of Institution,ቃለ ምሥጢር,የምሥጢር ቃል,,,,,,,,,,,
block,,,,,,,,,,,,sjc-ins-1,prayer,deacon,,,"Priests, raise up your hands.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-2,prayer,priest,,,"He took bread in His holy, blessed and spotless hands.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-3,rubric,\N,,,At this time he shall raise the bread.,,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-4,response,congregation,,,"We believe that this is He, truly we believe.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-5,prayer,priest,,,"He looked up to heaven towards Thee, His Father, God and Lord of all, Who is above all, gave thanks, blessed (+ three times) and broke, and gave it to His disciples and said to them, ""This (pointing) is My body,"" which is indeed the food of righteousness; whoever eats of it has eternal life. Take, eat of it.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-6,response,congregation,,,"Amen. Amen. Amen. We believe and confess, we glorify Thee, O our Lord and our God, that this is He we truly believe.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-7,prayer,priest,,,"And likewise also the cup mixing water with wine, He gave thanks, blessed (+ three times), sanctified, gave it to His disciples and said to them This (pointing) is My blood which is indeed the drink of life, whoever drinks of it has eternal life; take, drink ye all of it.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-8,rubric,\N,,,He shall move the cup with his right hand in the sign of the cross.,,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-9,response,congregation,,,Amen. Amen. Amen.,,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-10,prayer,priest,,,"It is a sign to you and to those who will come after you, so do likewise in remembrance of Me until I come. Whenever ye gather in My name, proclaim My death, My resurrection and Mine ascension into the heavens.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ins-11,response,congregation,,,"We proclaim Thy death, Lord, and Thy holy resurrection; we believe Thine ascension and Thy second advent. We glorify Thee and confess Thee, we offer our prayer and supplicate Thee, O our Lord and our God.",,\N,\N,\N
section,,,,,,,sjc-anamnesis,Anamnesis,,,,,,,,,,,,,
block,,,,,,,,,,,,sjc-ana-1,prayer,priest,,,"And we, who have gathered together, proclaim the sufferings of him who does not suffer and proclaim the death of Him who does not die. In the same night when He sat with His disciples He gave His soul over to death with the will of His Father and in His own good pleasure.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-2,prayer,priest,,,"They took hold of Him who takes hold of all, bound the ruler of all and shackled the Son of the living God; they drew Him in wrath and He followed them in love, they took Him and He followed them like a meek sheep which is dumb before its shearers.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-3,prayer,priest,,,"They caused to stand in the court Him, before Whom stand archangels in fear and trembling. He who forgives sins, was accused as a sinner by them, the Judge of judges was judged by them.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-4,prayer,priest,,,"Him, Who crowns seraphim with a coronet, they crowned with a crown of thorns. Him, Who clothes cherubim with garments of might, they clothed with a scarlet robe to mock Him.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-5,prayer,priest,,,A wicked servant strengthened his hand to strike the face of Him from Whose face the cherubim are hidden being covered with wings of fire.,,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-6,prayer,priest,,,"They knelt before him, mocking Him Whom the hosts of angels worship in great fear.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-7,prayer,priest,,,Oh what humility is this! Oh what patience is this! Oh what a silence is this!,,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-8,prayer,priest,,,Oh what a kindness is this! Oh what a love of man is this!,,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-9,prayer,priest,,,"Love drew down the Son of God from His throne and brought Him unto death. Him, Who had no wickedness, they crucified as wicked. Him, Who is the maker of life, they numbered with the wicked.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-10,prayer,priest,,,Oh the hands which formed Adam were nailed with the nails of the cross. Oh the feet which walked in the garden were nailed with the nails of the cross.,,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-11,prayer,priest,,,Oh the mouth which breathed the spirit of life into the nostrils of Adam drank vinegar mixed with gall.,,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-12,prayer,priest,,,"What mouth, what lips, what tongue can express the sufferings of the Son?",,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-13,prayer,priest,,,"The heart is broken, the mind is perplexed, the soul trembles and the flesh is weary when the sufferings of the Beloved are mentioned.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-14,prayer,priest,,,"The Immortal died: died to destroy death, died to quicken the dead.",,\N,\N,\N
block,,,,,,,,,,,,sjc-ana-15,prayer,deacon,,,"Ye who love Him, weep and mourn over him.",,\N,\N,\N
