kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,ep-fr-7,prayer,priest,,,"By it the great are honoured, and by it the rulers take hold of the earth. It loves them that love it. It keeps them that keep it, and those that seek it find favour.",,\N,\N,\N
block,,,,,,,,,,,,ep-fr-8,prayer,priest,,,It walks in the way of righteousness and moves about in the path of righteousness to grant them that know it riches and to fill their treasuries with rejoicing.,,\N,\N,\N
block,,,,,,,,,,,,ep-fr-9,prayer,priest,,,"He who knows all knows it, and He who understands all beautifies its way. He gave it to his servant Jacob and to his holy Israel. Afterwards, it appeared on the earth and walked like man.",,\N,\N,\N
block,,,,,,,,,,,,ep-fr-10,prayer,priest,,,"Behold she has built a house for herself, and established seven pillars, she has killed her beasts, poured her wine in the bowl, and furnished her table.",,\N,\N,\N
block,,,,,,,,,,,,ep-fr-11,prayer,priest,,,"She has sent forth her servants ceaselessly proclaiming and saying: Whoever is simple let him turn in towards me: as for him that wants understanding, she says to him, Come, eat of my bread, and drink of my wine, forsake the foolish and live.",,\N,\N,\N
block,,,,,,,,,,,,ep-fr-12,prayer,priest,,,"But wisdom is our Saviour Who redeemed us with the sacrifice of His body, and bought us with the sprinkling of His blood, and chose us for His kingdom for ever.",,\N,\N,\N
block,,,,,,,,,,,,ep-fr-13,prayer,deacon,,,Pray ye.,,\N,\N,\N
block,,,,,,,,,,,,ep-fr-14,rubric,\N,,,"People: Our Father who art in heaven . . . (see Anaphora of the Lord, paragraph 69)",,\N,\N,\N
section,,,,,,,saint-epiphanius-pre-communion,Pre-Communion,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-pre-1,prayer,priest,,,"O God of lights, God of authorities, God of the archangels, Thou did loosen the soul bound with death and did lighten him who was nailed in darkness with the nails of the cross of Thine Only-begotten.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-2,prayer,priest,,,"O Lord, Thou art He Who loosened our sufferings and all our burdens, and loosen the bonds of our sin, and took our trouble and quicken us, and became to us the way towards the place of life, Thou did turn us from destruction unto salvation.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-3,prayer,priest,,,"O Lord, our almighty God, Father of our Lord and Saviour Jesus Christ, Whose curtain is light, Whose face is fire, and the throne of Whose glory is ineffable, and the abode of joy which cannot be spoken of, which He has prepared for the holy ones. His garments are the treasures of light.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-4,prayer,priest,,,"Thou keeps the holy angels, all of whom tremble and glorify Thee when Thou looks at them the mountains melt, and when Thy name is spoken of, springs come forth from the depth.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-5,prayer,priest,,,Thou art He who covered heaven gathering all in Thy hand the earth and the depths together tremble before Thee.,,\N,\N,\N
block,,,,,,,,,,,,ep-pre-6,prayer,priest,,,"All the hosts of the enemy were discomfited before Thee, the Devil fell, the beast was trodden down and the snake was destroyed.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-7,prayer,priest,,,"All the gentiles who believed in Thee were enlightened and strengthened by Thee. O Lord, through Thee life was seen, hope was strengthened, the gospel, through which destruction was destroyed, has been preached, and salvation was confirmed.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-8,prayer,priest,,,"O Lord our almighty God, make us worthy to partake of this bread, the body of Thy life-giving Son, and of this cup, the speaking blood of Thy Messiah, through Whom to Thee with Him and with the Holy Spirit be glory and dominion, both now and ever, and unto the ages of ages. Amen.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-9,response,congregation,,,"The hosts of the angels of the Saviour of the world, stand before the Saviour of the world and encircle the Saviour of the world, even the body and the blood of the Saviour of the world. Let us draw near the face of the Saviour of the world. In the faith which is of Him let us submit ourselves to Christ.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-10,prayer,deacon,,,"Open ye the gates, princes.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-11,prayer,deacon,,,"Ye who are standing, bow your heads.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-12,prayer,priest,,,"Let the Lamb come that we may see Him with our eyes, immolate Him with our hands and rejoice in Him. May His body be joined with this bread, and may His blood be poured into this cup.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-13,prayer,priest,,,"Let none of us think when he eats of this bread that he eats mere flesh without blood and Spirit, and let none of us think when he drinks of this cup that he drinks mere blood without body and Spirit, but one is the Body, Blood and Spirit as His divinity became one with His humanity, unto the ages of ages.",,\N,\N,\N
block,,,,,,,,,,,,ep-pre-14,prayer,deacon,,,Worship the Lord with fear.,,\N,\N,\N
