kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,cy-ep-1,prayer,priest,,,"Let the flaming sword of fire, called ""Shining"" be drawn, and let the heaven of heavens be opened, through Thy righteousness, and with Thy will, let Thy living Holy Spirit descend, come and rest upon this bread and cup, bless and sanctify them to be the communion of the body and blood of Thine only-begotten Son, our Lord, God, and Saviour Jesus Christ (+ once over the bread and once over the cup and once more over both of them) for the forgiveness of the iniquity to those who draw near to it and remission of sin to those who partake of it.",,\N,\N,\N
block,,,,,,,,,,,,cy-ep-2,response,congregation,,,"Amen. Lord pity us, Lord spare us, Lord have mercy upon us.",,\N,\N,\N
block,,,,,,,,,,,,cy-ep-3,prayer,deacon,,,With all the heart let us beseech the Lord our God that he grant unto us the good communion of the Holy Spirit.,,\N,\N,\N
block,,,,,,,,,,,,cy-ep-4,response,congregation,,,"As it was, is, and shall be unto generations of generations, and endless ages.",,\N,\N,\N
block,,,,,,,,,,,,cy-ep-5,rubric,\N,,,At this time he shall dip his finger into the Blood and sign the Body.,,\N,\N,\N
block,,,,,,,,,,,,cy-ep-6,prayer,priest,,,"And to all those who in true faith partake of it and receive it may it be for mercy, compassion, healing, help, life of soul and body, forgiveness of iniquity, remission of sin, resurrection from the dead, and new life, unto the ages of ages.",,\N,\N,\N
block,,,,,,,,,,,,cy-ep-7,response,congregation,,,Amen.,,\N,\N,\N
block,,,,,,,,,,,,cy-ep-8,prayer,priest,,,"Grant us to be united through Thy Holy Spirit, and heal us by this oblation that we may live in Thee forever.",,\N,\N,\N
block,,,,,,,,,,,,cy-ep-9,rubric,\N,,,The people shall repeat his words.,,\N,\N,\N
block,,,,,,,,,,,,cy-ep-10,prayer,priest,,,"Blessed be the name of the Lord, and blessed be He that comes in the name of the Lord, and let the name of His glory be blessed. So be it. So be it. So be it blessed.",,\N,\N,\N
block,,,,,,,,,,,,cy-ep-11,rubric,\N,,,The people shall repeat his words.,,\N,\N,\N
block,,,,,,,,,,,,cy-ep-12,prayer,priest,,,Send the grace of the Holy Spirit upon us.,,\N,\N,\N
block,,,,,,,,,,,,cy-ep-13,rubric,\N,,,The people shall repeat his words.,,\N,\N,\N
section,,,,,,,saint-cyril-fraction,Prayer of Fraction,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-fr-1,rubric,\N,,,Deacon: Arise for prayer.,,\N,\N,\N
block,,,,,,,,,,,,cy-fr-2,response,congregation,,,Lord have mercy upon us.,,\N,\N,\N
block,,,,,,,,,,,,cy-fr-3,prayer,priest,,,Peace be unto all of you.,,\N,\N,\N
block,,,,,,,,,,,,cy-fr-4,response,congregation,,,And with your spirit.,,\N,\N,\N
block,,,,,,,,,,,,cy-fr-5,prayer,priest,,,"Again we beseech the almighty God, Father of our Lord and Saviour Jesus Christ, O Lord, we have lifted up our eyes unto Thee desiring the descent of the Holy Spirit, we kneel to Thee with the knees of our heart, and we bow unto Thee the heads of our minds and spirits.",,\N,\N,\N
